Price,Close,High,Low,Open,Volume
Ticker,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS,BAJAJHLDNG.NS
Date,,,,,
2019-01-01,2677.7060546875,2695.905731981185,2655.0586754360156,2694.0448773055678,56276
2019-01-02,2677.842529296875,2694.090493155605,2655.05885865234,2659.7334890246366,15693
2019-01-03,2702.486328125,2709.52109814531,2668.6286164795542,2694.3623477137553,25184
2019-01-04,2679.2490234375,2723.1370034536103,2675.935962060414,2686.8739400128443,16159
2019-01-07,2681.201416015625,2712.109073143463,2656.012392363211,2656.012392363211,4452
2019-01-08,2682.698486328125,2704.029727076666,2677.7514982211014,2680.4746353379364,6335
2019-01-09,2678.79541015625,2700.4444399404033,2677.2977733123425,2689.2795328920315,5980
2019-01-10,2695.8603515625,2750.36852456429,2679.8847465637155,2722.2294406496057,14544
2019-01-11,2729.80859375,2750.368188096449,2677.751206232517,2695.9054516984997,8073
2019-01-14,2730.989013671875,2824.801185384264,2722.229677046082,2746.7833434967215,25939
2019-01-15,2721.6396484375,2763.802846416342,2714.0147310729703,2735.8906892420105,7811
2019-01-16,2685.421630859375,2739.4759470996864,2677.751505614339,2723.500120659692,5828
2019-01-17,2677.79736328125,2718.5989967231917,2650.5205577401402,2688.689913518538,61769
2019-01-18,2687.191650390625,2712.244600808953,2679.657814898175,2702.2143346534117,5107
2019-01-21,2688.099609375,2723.0013309959545,2678.6594883681587,2682.8802626931574,11792
2019-01-22,2684.06005859375,2713.152284487346,2659.3703263555713,2697.5851059250576,28214
2019-01-23,2692.864990234375,2705.8907522410177,2677.751666927542,2687.9180018156762,17908
2019-01-24,2668.492919921875,2702.259776400144,2661.094931001319,2697.675784523389,39805
2019-01-25,2597.69140625,2694.952701850601,2596.0574795982884,2694.952701850601,11730
2019-01-28,2590.157470703125,2641.3977940774575,2560.656816139308,2596.0576016158884,28941
2019-01-29,2582.350830078125,2591.518813649357,2564.287442577735,2591.518813649357,52299
2019-01-30,2589.385498046875,2627.4642077031754,2579.083096033165,2584.98322619757,10198
2019-01-31,2584.302734375,2613.939456756737,2555.2105064889925,2574.3178975823253,28439
2019-02-01,2601.412841796875,2655.921014969378,2586.9803034843812,2586.9803034843812,16406
2019-02-04,2717.237060546875,2768.5228109797795,2592.8804621520458,2592.8804621520458,583619
2019-02-05,2658.32666015625,2800.5197209447574,2636.0422761052587,2712.244688820334,13382
2019-02-06,2717.91796875,2727.6758774630543,2654.242029838374,2654.242029838374,86499
2019-02-07,2829.203369140625,2886.4798863183128,2711.0190421119087,2711.0644720519817,550055
2019-02-08,2842.500732421875,2885.480993404835,2813.590010430625,2832.0620422022193,16906
2019-02-11,2829.566162109375,2866.963864480534,2810.0957776311216,2866.963864480534,74757
2019-02-12,2814.226318359375,2829.5665697682202,2783.9540202034264,2829.5665697682202,33654
2019-02-14,2859.24853515625,2883.7567691427926,2820.4438313442242,2832.0625940004784,15773
2019-02-15,2868.0986328125,2886.5252376134968,2839.0518379685905,2859.2938674473316,72564
2019-02-18,2729.35498046875,2900.1409712425843,2723.1370621996093,2876.4043818275286,21499
2019-02-19,2819.30908203125,2835.1940478907068,2723.04614460105,2724.0447168131413,10738
2019-02-20,2867.644775390625,2898.2346368753656,2758.991652796972,2813.953679213569,94549
2019-02-21,2861.926025390625,2924.5581741642536,2820.2621194154253,2867.4631590709137,20575
2019-02-22,2860.11083984375,2895.6024824257333,2836.601177924895,2861.926264597622,9013
2019-02-25,2846.541015625,2900.1869138776465,2814.8165075640036,2843.86330802903,25970
2019-02-26,2841.50244140625,2886.5250592764783,2743.3334466661436,2743.3334466661436,58731
2019-02-27,2866.782470703125,2885.617501580063,2834.7856110206158,2871.094104277364,16231
2019-02-28,2872.955322265625,2900.1412657083492,2859.29420562795,2871.0944674289544,80990
2019-03-01,2877.720703125,2909.218279488992,2861.109521669049,2873.0006429060704,12820
2019-03-05,2869.641845703125,2903.6810601454636,2861.1094379266997,2877.7206188964547,23572
2019-03-06,2922.9248046875,2948.2498921493034,2872.183548270108,2893.832577778356,19548
2019-03-07,2972.168212890625,2993.635522704067,2922.833954853577,2922.833954853577,63115
2019-03-08,2974.482421875,2993.635240529446,2923.559893532697,2993.635240529446,16530
2019-03-11,2992.455322265625,3027.3116101974706,2980.11056701412,3008.1133606293324,13466
2019-03-12,3034.80029296875,3073.37806935585,3000.7156485683713,3027.129946023034,19409
2019-03-13,3011.56298828125,3077.1452129525846,2997.947301498274,3049.913839386633,28254
2019-03-14,3027.99267578125,3058.9909674155692,3010.973067283018,3049.913842883179,10881
2019-03-15,3029.2177734375,3064.482488780304,2995.4509165186387,3048.8698798403434,49372
2019-03-18,3014.966552734375,3045.7379125740163,3004.6639289788845,3031.8046610494093,10156
2019-03-19,3047.598876953125,3055.9497865026906,2973.711178082046,3019.0967969486715,42551
2019-03-20,3053.54443359375,3058.9907078510514,3018.4614388967525,3018.4614388967525,22184
2019-03-22,3056.221923828125,3075.783168468889,3034.436828345388,3053.18122054933,66853
2019-03-25,2959.59619140625,3061.7138333425182,2955.0576295424157,3061.7138333425182,19966
2019-03-26,2950.292236328125,2978.431320806603,2913.7568121262307,2977.205820419396,21102
2019-03-27,2971.623291015625,3017.4173345232066,2950.0651228104716,2990.8667484179123,45199
2019-03-28,3262.000244140625,3449.3067673759933,2938.264738420024,2938.264738420024,240494
2019-04-01,3042.7880859375,3135.3747523478014,3032.758041030632,3127.0692723871384,59859
2019-04-02,3107.59912109375,3131.608071990445,3044.422243519363,3063.529635642826,342322
2019-04-03,3091.804443359375,3141.774054343563,3070.881850227951,3108.9603403562523,130489
2019-04-04,3019.187744140625,3116.176910226213,2968.7190637627195,3116.176910226213,47065
2019-04-05,3042.15283203125,3124.2553784286365,3024.0894430043554,3041.7444057525536,15422
2019-04-08,3011.244873046875,3069.7923198513145,2982.1074394633656,3045.5110143936595,15427
2019-04-09,2981.33544921875,3046.282304898043,2969.0359039339996,3010.8360972846576,37279
2019-04-10,2999.762451171875,3038.9755811871105,2972.7580081966535,3008.748714980348,14305
2019-04-11,3001.032958984375,3037.750099137068,2976.887944552949,2999.172326040204,17982
2019-04-12,2995.63232421875,3035.889456540125,2992.5916207397863,3031.7593209277466,21177
2019-04-15,3005.52685546875,3026.2679524936784,2981.83547129956,3011.789982883391,13158
2019-04-16,2999.1728515625,3022.3195194764335,2989.641870656763,3012.606818789662,16358
2019-04-18,2985.82861328125,3018.097828380007,2977.296206698511,3001.8044376682856,30759
2019-04-22,2983.060546875,3007.2964221096904,2958.1436657736435,2986.373608282959,13356
2019-04-23,2987.96240234375,3012.6975661514107,2973.892859627466,2982.652195965102,26272
2019-04-24,2995.859375,3027.2208830427726,2989.1423918193473,2995.450948737976,31159
