Price,Close,High,Low,Open,Volume
Ticker,CONCOR.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS
Date,,,,,
2019-01-01,498.5590515136719,502.66947156777974,494.3031549153027,501.9783330980575,569838
2019-01-02,486.6643981933594,501.32367358745694,482.3357904861473,499.06837056301504,1366171
2019-01-03,487.4283447265625,489.53811586424433,485.28221832079566,488.81062197296035,840090
2019-01-04,493.2846984863281,496.04919711820276,486.1187707981156,487.9375330437691,1084377
2019-01-07,495.53997802734375,499.46851139308427,491.46596809437835,496.0492292689644,596906
2019-01-08,494.9942626953125,497.61328436334674,492.70260485973,497.61328436334674,492657
2019-01-09,497.9407043457031,503.2515143003671,493.1755563442002,495.64904625170357,586143
2019-01-10,501.287109375,504.0880180375535,495.9399453393089,497.8314731182987,590860
2019-01-11,493.6484069824219,503.32417864942465,490.1200042583642,503.2514681323802,450842
2019-01-14,496.3766784667969,499.32306479186894,483.89993904198667,493.6485347577708,2163780
2019-01-15,495.94012451171875,499.06839810152354,492.66637434983613,499.06839810152354,336583
2019-01-16,506.9981994628906,512.8909715878686,496.5584660572035,498.1226305065103,1982631
2019-01-17,505.1794128417969,512.8909469062718,498.52273644484757,507.0708855907545,939641
2019-01-18,497.5043029785156,507.65297316768323,494.776159265874,506.3434619654462,632438
2019-01-21,483.790771484375,500.30510873574394,481.3536366644714,500.30510873574394,1325947
2019-01-22,487.06451416015625,488.8105659040285,478.3708327215886,483.0632704649433,1013112
2019-01-23,480.0804443359375,488.8832465320964,478.37080346476034,487.3554929778093,844543
2019-01-24,483.099609375,484.1908778019237,479.2074871075075,483.06325411231575,381668
2019-01-25,480.4441833496094,483.79069881625395,473.35102255051424,482.4811879376354,534737
2019-01-28,467.74920654296875,480.1531769347953,459.9649072582852,480.0077003939412,692347
2019-01-29,467.6764831542969,472.1506220932461,457.23675162446733,467.05805523610195,749838
2019-01-30,481.2080078125,483.4996656094327,464.1480397523482,470.69556605990186,814517
2019-01-31,476.87945556640625,483.79072950044053,474.33314416566293,478.9528155449302,2104942
2019-02-01,479.2076110839844,493.8304230735096,471.2050108856585,479.75321768649195,976041
2019-02-04,471.6050109863281,502.4330521333942,468.3312612646118,499.2502183189745,927229
2019-02-05,470.5137634277344,476.8794305877312,464.8301042827737,471.87783496201945,403499
2019-02-06,464.193603515625,477.1068265124231,457.96433729708434,476.19744539298966,448414
2019-02-07,466.9671936035156,471.05940854259217,458.00978424200406,469.0587590270891,258120
2019-02-08,463.7389221191406,473.33288201789077,459.6012212926943,468.9678636592038,323368
2019-02-11,473.4693298339844,475.0607468864314,462.05657946374095,469.2406851786508,604859
2019-02-12,465.96685791015625,476.4247396639568,462.8749402334344,472.3779830149045,465576
2019-02-14,452.87176513671875,457.32772675330517,438.2762103129747,439.23104931934773,2924320
2019-02-15,446.73345947265625,457.3277435972604,440.5951371287572,456.5093061684955,1210198
2019-02-18,448.77960205078125,454.1904310486916,433.77481292446333,447.41553031202506,905190
2019-02-19,445.369384765625,453.14458191336996,440.95888096892816,443.7779678726391,880880
2019-02-20,447.32452392578125,451.5076822218634,436.5028951993845,444.687324484373,669634
2019-02-21,438.8674011230469,447.82481207419556,436.13925734617607,447.3246357305011,835835
2019-02-22,432.547119140625,439.23107584521307,428.1366152095629,438.23075107443987,1458459
2019-02-25,431.5012512207031,443.3232033089416,428.40936160958455,432.54703373962656,1232554
2019-02-26,424.68096923828125,433.5928928238086,423.77158814783525,431.54678537030514,1150363
2019-02-27,431.0011901855469,434.09308042347396,419.31563731739436,424.6809803408722,1059353
2019-02-28,429.909912109375,433.77478175816367,425.2266050265587,430.1372573828331,2867819
2019-03-01,434.820556640625,436.411973526193,426.5906689903881,429.90990437272256,1163832
2019-03-05,440.5497131347656,442.8686239870363,434.4113903176969,435.86637796894325,1087720
2019-03-06,442.7776184082031,448.7340808120426,439.3674395422248,443.77794309264476,783592
2019-03-07,441.595458984375,446.3697096650345,437.50324411523826,444.1417149132168,562801
2019-03-08,444.18719482421875,445.5967243821354,438.63996474577465,441.3226222515044,747344
2019-03-11,448.77960205078125,455.4180734118837,443.36877305287084,445.5967679936835,2435796
2019-03-12,457.46417236328125,461.05623897487624,445.32395631977283,451.09850436954525,2010662
2019-03-13,475.1971435546875,485.51865366392076,461.05627673974726,462.2839469323762,3206175
2019-03-14,462.6476745605469,475.19712372296635,459.96498898313513,470.9230210831842,945493
2019-03-15,468.740478515625,470.6956144922535,461.2835427221809,465.6031027575291,1069396
2019-03-18,465.6485900878906,472.6053778380476,463.37513729427315,469.14974069259273,607274
2019-03-19,464.2845153808594,469.1497376299717,462.8749857588617,468.3312724279249,609105
2019-03-20,467.64923095703125,470.5592615796297,463.9207628943609,464.875629701202,666586
2019-03-22,467.1491394042969,471.51415811824,464.1936504672009,469.78631161486334,719300
2019-03-25,460.28326416015625,466.14875593452126,456.5093379328466,466.14875593452126,391050
2019-03-26,458.9190368652344,463.784229925659,457.2366767552799,461.96546823967606,434584
2019-03-27,456.9639587402344,464.10260523813986,454.6905062091884,458.32803025886193,545270
2019-03-28,464.8756103515625,467.6037535396536,457.37321658431205,457.37321658431205,718740
2019-04-01,482.9723205566406,488.33769169878167,478.4709281370967,480.65340965779814,475109
2019-04-02,485.7913513183594,494.1576677917237,481.60816532957097,482.9722368576995,1218766
2019-04-03,484.1544494628906,490.6564900801952,480.4259541923504,486.5188177775088,478303
2019-04-04,483.8815612792969,488.7922404078676,478.65262103307316,487.3372531497313,701627
2019-04-05,479.6984558105469,484.6545931372986,473.0145279644437,484.1999026578573,598262
2019-04-08,469.7407531738281,484.10896213985194,466.55791961471215,482.56305881450845,727512
2019-04-09,472.2869873046875,474.69686909083646,460.5105203262066,469.24058323921764,373410
2019-04-10,472.3324890136719,477.87969062321895,468.74042314982023,472.8780953835849,840710
2019-04-11,469.51336669921875,473.2873197896685,466.51242070778795,472.8780872671535,162079
2019-04-12,467.6946716308594,474.4241137279658,465.60310627772054,472.10520310808977,848737
2019-04-15,466.8762512207031,472.3325374967337,464.69371450860524,469.2860776900881,346940
2019-04-16,465.7849426269531,469.240579202408,461.4653830315821,469.240579202408,478902
2019-04-18,473.8330078125,475.6063120462117,462.05653929933214,469.14972848207043,505695
2019-04-22,459.32843017578125,475.37900212414667,456.60028669156804,470.9685256930239,693791
2019-04-23,459.0555725097656,464.23905592950877,452.871792072273,459.37386144819004,367618
2019-04-24,457.9188232421875,463.7843422002693,452.3261352543117,459.23743688458035,747725
2019-04-25,447.5973815917969,461.6018447645785,444.23266047304105,461.6018447645785,1187245
2019-04-26,449.1888122558594,462.4202963606144,444.3690757015235,453.7811757796393,849029
2019-04-30,448.50677490234375,452.96273679439423,436.50293314014607,444.68736313652386,1042076
2019-05-02,467.0126647949219,473.6966493540668,449.23427493429705,452.87179942769217,2010622
2019-05-03,459.5102233886719,469.2406115111607,456.05458657528504,468.19480112490595,673974
2019-05-06,450.59832763671875,459.6921384871066,445.7786189868565,459.2374479445872,314874
2019-05-07,445.4602966308594,455.5544314677823,444.45997196195594,451.05298433377015,287311
2019-05-08,433.95660400390625,448.5976152174351,432.04689844280546,448.5976152174351,654850
2019-05-09,430.9556884765625,434.8205580684905,427.4091078132149,430.7283432064491,841679
2019-05-10,432.68353271484375,436.95763514804105,429.09149388466375,430.59196720623817,665445
2019-05-13,427.4091796875,440.8680108406442,425.22667027781614,432.9564107615263,386771
2019-05-14,426.7724609375,430.81921719191195,420.77056897883125,429.0913989688981,506530
2019-05-15,433.4110107421875,437.41228178187055,423.3623335635019,423.3623335635019,544867
2019-05-16,426.5450744628906,435.6843686110396,422.8620931396118,431.9559015942271,605466
2019-05-17,435.6844787597656,437.41229725254533,425.27205434594606,427.36364747055984,350387
2019-05-20,451.825927734375,459.0554895904336,438.23067151599264,459.0554895904336,313393
2019-05-21,439.0946350097656,453.73567511397266,436.321006222536,453.73567511397266,708852
2019-05-22,440.822509765625,443.1869062915821,428.3185190296222,439.3220364277267,792441
2019-05-23,447.5064392089844,455.0997768485119,439.0037204809411,445.59673337267975,2118710
2019-05-24,459.7375793457031,462.7840114177266,444.00529826036217,449.1887813531847,655521
2019-05-27,475.924560546875,478.78913311764114,456.55475486632065,460.146821191883,936898
2019-05-28,477.5160217285156,481.2899757190258,472.4235094681793,477.37964785795816,1554663
2019-05-29,477.0158386230469,479.97132715913045,474.51504063097616,479.97132715913045,740288
2019-05-30,481.608154296875,488.928715733502,473.10546416800526,478.69817950689924,996626
2019-05-31,482.0174255371094,488.33763508080466,476.01553267076343,484.6546528444462,1424077
2019-06-03,482.7904052734375,491.11120829621893,478.15252877319676,485.6094642311468,757760
2019-06-04,488.92864990234375,494.9759994217491,479.2437213768232,479.2437213768232,1207456
2019-06-06,476.8340148925781,491.7024309670995,474.33321656701463,491.3841142413114,746521
2019-06-07,476.7885437011719,485.51863637066975,474.105858107354,479.24388399897515,293561
2019-06-10,485.3822021484375,487.79208446383757,478.65275925185693,479.60765388896925,366606
2019-06-11,489.01971435546875,492.93004220716483,483.608885401691,485.60953503639297,662634
2019-06-12,492.3388671875,493.7029386087758,485.06381960736235,489.0196045273789,553493
2019-06-13,486.4734802246094,492.42991593703823,483.4725333889956,490.7475829319251,382238
2019-06-14,489.2016296386719,491.7933438675666,484.15457505890515,484.8820689210314,295478
2019-06-17,481.380859375,491.0657902170792,479.3347519157621,486.7462300253549,364276
2019-06-18,479.653076171875,486.4279765224659,477.65242663486447,481.15352169646945,327782
2019-06-19,482.9723205566406,490.0655381355314,479.6531125655044,481.0626422879991,707414
2019-06-20,496.1582336425781,499.250151133614,481.0170738369532,483.7906746868536,687394
2019-06-21,503.25146484375,505.16114273159997,493.1118445476329,497.4314042739607,1096693
2019-06-24,503.2060852050781,506.8436101524479,497.4315365528189,506.47989096024645,872206
2019-06-25,504.0244445800781,508.16211723717726,500.1595751358466,503.06960558293434,462745
2019-06-26,517.392333984375,519.9385896979695,503.16049905199816,505.61583886676186,1316795
2019-06-27,518.2108154296875,521.6665081317368,511.2086251225926,518.2563288896246,1110894
2019-06-28,518.392578125,521.9846438305988,514.2549060735255,518.3016622354228,825163
2019-07-01,525.7131958007812,529.9418401503866,516.7103561432282,519.2566121422063,1163755
2019-07-02,527.0772705078125,529.6235820257258,521.9847584804226,527.4410451544339,424857
2019-07-03,524.1673583984375,528.3504898166383,518.6655576036794,528.3504898166383,520136
2019-07-04,521.0753173828125,527.3955264868147,517.8470259065014,521.0753173828125,348097
2019-07-05,523.53076171875,528.3504709206236,515.846479569232,520.6207308124906,876960
2019-07-08,503.797119140625,520.0750627008264,501.0689758961812,520.0750627008264,389948
2019-07-09,499.2501525878906,503.2059376061655,471.05934251462173,499.2501525878906,2502559
2019-07-10,505.0248107910156,509.026110142552,500.79622165109606,501.06902490137765,599498
2019-07-11,507.3435974121094,508.5257814139281,498.1133596012049,507.4345132952484,563326
2019-07-12,507.3435974121094,514.1639537736046,504.7063707506503,507.88920371934813,840324
2019-07-15,501.523681640625,511.0721832856414,500.8416458088381,508.7987305130184,589582
2019-07-16,502.6148986816406,503.75162495172566,496.84029592708123,500.11410088745356,567943
2019-07-17,501.7055969238281,510.4356338555467,500.38698314137554,502.8877813306328,656858
2019-07-18,490.11102294921875,502.842360115704,487.42833723115,501.7056335829821,723958
2019-07-19,486.7462158203125,493.20279919046044,483.29057886862466,488.3830906390893,579344
2019-07-22,489.01971435546875,493.2938168695545,478.5163731535594,488.79236906753033,792612
2019-07-23,489.51983642578125,492.6572123305759,484.336353040149,487.0190383936463,463460
