Price,Close,High,Low,Open,Volume
Ticker,CROMPTON.NS,CROMPTON.NS,CROMPTON.NS,CROMPTON.NS,CROMPTON.NS
Date,,,,,
2019-01-01,223.0991668701172,225.6700890291392,216.14814434436542,217.76687203491005,630439
2019-01-02,220.62347412109375,225.3368342332821,218.29060038166074,224.71791358810003,308712
2019-01-03,218.0049285888672,226.52706648613568,216.14815221360413,219.52844560563102,525613
2019-01-04,214.5770263671875,220.24258047177082,212.57741219882428,216.90989987738837,552192
2019-01-07,216.1957550048828,222.38501899362365,214.7674633151734,216.76706296316593,321983
2019-01-08,216.719482421875,220.38542267153656,216.1481598879699,217.10035442492133,123082
2019-01-09,218.10015869140625,220.86151700007403,216.3385930097605,217.8144974282562,148703
2019-01-10,218.76669311523438,220.67108217390887,216.71948068889344,218.0525472182314,144571
2019-01-11,217.43362426757812,219.81411056554006,216.14815585494455,218.52864215290649,202480
2019-01-14,216.62423706054688,219.00472318209134,216.148139836238,217.24315764041475,131512
2019-01-15,214.81509399414062,218.0049369849216,214.1009480892789,217.67167761358752,88185
2019-01-16,216.43382263183594,218.05255044983218,214.33899754211518,215.00553081666237,377960
2019-01-17,217.290771484375,218.3381911954482,212.52979921465015,215.0055106066408,421763
2019-01-18,218.24298095703125,220.05215926162853,216.6718658116372,218.24298095703125,1135036
2019-01-21,211.95851135253906,219.29040643707714,209.62562309575978,218.05255062373897,246597
2019-01-22,212.81546020507812,214.1485266272912,210.43497407303028,211.3871685258494,389045
2019-01-23,209.33995056152344,215.48160170903915,207.76882103956942,215.05311712280948,203718
2019-01-24,208.29254150390625,212.95828862185988,201.1034703084188,208.1021055146839,662560
2019-01-25,205.1027069091797,208.48300057716042,199.96086198417817,207.10232134075596,563202
2019-01-28,215.05313110351562,218.81429642834397,199.96084264456124,205.67400957726298,444423
2019-01-29,204.53140258789062,213.29158998497778,200.91306020906387,212.33939538683055,606655
2019-01-30,206.10250854492188,210.57782004801155,202.05568168575877,205.6740239009953,810986
2019-01-31,203.72201538085938,209.91127978312028,201.96046423012478,205.76924232382382,397138
2019-02-01,203.67442321777344,207.38799094993882,200.72262861610733,203.81726112824336,2063385
2019-02-04,202.15089416503906,207.00707737123358,200.19889254470527,203.76962190043724,299078
2019-02-05,200.48455810546875,203.7696262774389,197.96123392228247,202.15089850727023,439281
2019-02-06,204.72181701660156,207.38796451617316,200.57976513964798,200.57976513964798,855795
2019-02-07,209.95887756347656,211.05389537622355,203.57917761367318,203.57917761367318,604367
2019-02-08,202.9602508544922,209.29235296562072,201.77000773540806,209.29235296562072,198672
