Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Date,,,,,
2019-01-01,1412.131591796875,1427.062217344702,1406.0063387668781,1421.2718040031154,254899
2019-01-02,1407.77685546875,1419.9317926015242,1398.6845447032508,1413.5193675311707,247208
2019-01-03,1376.1929931640625,1419.1661470289896,1370.6418516231006,1416.1034039322958,536515
2019-01-04,1397.8231201171875,1408.0638863836523,1366.9571183206936,1376.1930150928072,391849
2019-01-07,1422.228759765625,1430.8425274896429,1398.6365836885022,1406.9153949229265,456830
2019-01-08,1396.2440185546875,1426.057252261943,1392.6549482889277,1424.9087965095855,345960
2019-01-09,1410.0260009765625,1413.6150710621978,1397.344620007318,1398.1581191937203,248643
2019-01-10,1455.2001953125,1460.0814234645795,1404.283307666011,1407.585204986118,1072651
2019-01-11,1440.55712890625,1467.881847275589,1433.5703586772736,1454.7219228818917,1149372
2019-01-14,1464.771240234375,1472.8107806123953,1439.6956505734902,1440.3177794228784,965710
2019-01-15,1456.8753662109375,1469.1261062071096,1450.4629406885176,1465.2977645622702,383535
2019-01-16,1454.5782470703125,1460.560030036565,1447.7350639905803,1460.560030036565,362391
2019-01-17,1440.748291015625,1481.568001237773,1434.8621932257633,1460.5121252511894,927211
2019-01-18,1444.3853759765625,1454.7697286336918,1419.7882124394553,1447.8308598622482,454592
2019-01-21,1432.9481201171875,1452.9991280304675,1429.5505372691653,1449.984285851959,351617
2019-01-22,1439.1214599609375,1456.4925830341213,1421.2717941961052,1427.9713918791847,710962
2019-01-23,1438.7862548828125,1447.6392931488863,1431.8473870526464,1443.2845086745192,302963
2019-01-24,1429.1676025390625,1452.855463354627,1425.67421788073,1443.5717828181766,365424
2019-01-25,1431.1776123046875,1443.284765835365,1423.1859726771804,1436.1066254217278,195017
2019-01-28,1410.21728515625,1435.0537187304603,1397.44021979836,1435.0537187304603,211598
2019-01-29,1440.2220458984375,1449.88858432873,1403.0870885014604,1411.7008564390546,424613
2019-01-30,1438.642822265625,1448.0221883035235,1428.0191985789224,1441.3225910628657,218871
2019-01-31,1441.5618896484375,1454.6740288806584,1430.3640379243022,1444.1460901605733,512854
2019-02-01,1466.5897216796875,1481.6160318656528,1424.7651383614611,1446.3473430369902,609053
2019-02-04,1540.380859375,1550.430254829429,1479.8931163248315,1496.8334790724746,2399611
2019-02-05,1546.79345703125,1566.748662506238,1541.0987293012493,1546.458500536945,1031235
2019-02-06,1582.30126953125,1588.7136942976526,1540.9073303767202,1546.79342832804,916887
2019-02-07,1598.47607421875,1603.1179146650213,1569.6678293872299,1574.4053549993791,753538
2019-02-08,1612.784423828125,1627.0450182366574,1584.9332648234733,1595.4612031767692,1045291
2019-02-11,1564.83447265625,1607.903311353211,1556.2207049168578,1605.1277406041775,880642
2019-02-12,1567.8013916015625,1580.3391855455693,1543.9699444926543,1567.705706438816,795159
2019-02-14,1567.1793212890625,1578.1858025448262,1545.7407034388523,1569.6199356045443,469510
2019-02-15,1551.7701416015625,1559.4747245713218,1464.9625564456362,1547.606844144137,2159194
2019-02-18,1507.170166015625,1551.4832647797568,1492.0960716420761,1548.4684225387052,890862
2019-02-19,1519.7080078125,1548.2769832374088,1459.5552146284188,1502.671958029307,1840314
2019-02-20,1493.57958984375,1526.455448253619,1486.784190392617,1526.455448253619,775963
2019-02-21,1483.482177734375,1493.6751592896637,1473.9113249747984,1486.449118723504,799999
2019-02-22,1497.838623046875,1505.9259477932615,1480.3239138210545,1483.578027486668,611185
2019-02-25,1526.311767578125,1536.0262066465614,1494.0101390120415,1505.4951625022045,599083
2019-02-26,1551.8658447265625,1559.9532852550296,1502.623854939103,1502.623854939103,857201
2019-02-27,1568.136474609375,1579.1908573434632,1548.564125564681,1558.1349792455505,556471
2019-02-28,1583.25830078125,1592.015654328728,1564.8344094165598,1579.1906884020327,578587
2019-03-01,1598.14111328125,1603.1179102101162,1579.2386782205635,1579.2386782205635,480280
2019-03-05,1592.3028564453125,1610.7267495066676,1588.0438733534227,1602.160882322513,529749
2019-03-06,1632.6920166015625,1650.9723244801885,1581.1529908819587,1598.3326271779217,692075
2019-03-07,1580.05224609375,1640.8749506959946,1571.534163013147,1633.7447114880888,800855
2019-03-08,1576.7025146484375,1594.408594585744,1565.791717699106,1586.8475965434702,428683
2019-03-11,1618.096435546875,1622.5946901404543,1579.2865763078046,1579.2865763078046,637436
2019-03-12,1626.9971923828125,1655.6619686858485,1620.0105394337809,1627.045093382948,885899
2019-03-13,1595.4613037109375,1638.7694164841348,1590.1016490324198,1627.045120761004,639516
2019-03-14,1621.781005859375,1630.8733160132047,1599.624458276072,1604.697056989309,672355
2019-03-15,1634.7017822265625,1652.503546418426,1622.259672642871,1624.1738433480543,830304
2019-03-18,1616.85205078125,1648.6273532842736,1611.8273528860389,1644.2725683757426,464384
2019-03-19,1623.2166748046875,1639.8220814547747,1609.3868389012082,1625.1308454117684,283112
2019-03-20,1603.4527587890625,1637.5728715002192,1599.528732609434,1621.3024221632795,426057
2019-03-22,1592.2550048828125,1619.005492657621,1584.5026372112045,1607.9990115543603,459571
2019-03-25,1632.54833984375,1636.6159525914188,1580.2436019691506,1588.5703146339913,684585
2019-03-26,1634.55810546875,1698.7785057021606,1614.2679438509879,1636.6158622291211,509657
2019-03-27,1594.40869140625,1646.186991433242,1589.7668502909364,1632.7877949913434,460961
2019-03-28,1583.54541015625,1626.0878017930256,1571.05540120262,1598.2366450344807,1681103
2019-04-01,1649.34521484375,1667.2426639873959,1635.6588477350515,1635.6588477350515,888473
2019-04-02,1626.1358642578125,1659.9688070487439,1621.01536431603,1651.4507243104165,508894
2019-04-03,1603.8837890625,1634.271251062125,1593.977861527958,1634.271251062125,393202
2019-04-04,1628.050048828125,1640.4442571303543,1603.883644223375,1607.8554548811676,590246
2019-04-05,1645.229736328125,1648.675220262994,1618.574932378156,1633.7447119907558,464487
