Price,Close,High,Low,Open,Volume
Ticker,GAIL.NS,GAIL.NS,GAIL.NS,GAIL.NS,GAIL.NS
Date,,,,,
2019-01-01,107.89623260498047,108.4474094323297,106.34698029440582,106.95774269998758,6403509
2019-01-02,104.36573791503906,107.82175629642671,103.54642591669383,107.41955019994319,10585464
2019-01-03,104.26146697998047,105.00629359274421,103.36766958935763,104.36573834152233,7193736
2019-01-04,105.21484375,105.4382930844798,103.54642023411544,104.35083920206925,5513637
2019-01-07,106.39168548583984,106.67472042552556,104.60409065066008,105.31913131238524,5112729
2019-01-08,105.64684295654297,107.00243877237249,105.11056591588118,105.9447776765251,7191252
2019-01-09,101.6992416381836,106.13843561024551,100.71606591425206,106.06395022449236,18458496
2019-01-10,102.45896911621094,102.8164894248516,101.07358729653585,102.19083399907997,8262567
2019-01-11,100.87993621826172,102.7271166241028,100.46283030541375,102.36959629607126,7606365
2019-01-14,96.79826354980469,100.79055233768676,95.97894470005042,100.70117395929535,23910816
2019-01-15,96.69397735595703,97.40901114299287,95.94914395945928,96.23217887715396,13576677
2019-01-16,96.97701263427734,98.74970753242698,96.39604299199662,97.1259765864778,15250467
2019-01-17,99.03275299072266,99.33068090631599,97.21535860993893,97.98998482874735,12871785
2019-01-18,95.97894287109375,99.16681937357231,95.4873583897419,99.03275521810646,13377366
2019-01-21,97.6622543334961,97.98998184981862,95.47245353435784,96.23217992472422,9913917
2019-01-22,99.18171691894531,100.10530709527501,96.84294527700419,97.72184967557465,14312328
2019-01-23,99.56903076171875,100.25427179155986,98.48157681428432,99.79248010955962,9189687
2019-01-24,99.39026641845703,99.74778673604659,98.48157604784699,99.47965161220408,10153938
2019-01-25,99.77758026123047,100.55220648518139,98.52626255003274,99.50944513541641,10847781
2019-01-28,99.27108764648438,99.88185005491928,97.69204935854938,99.67329371099889,11398143
2019-01-29,96.41093444824219,98.64542763342004,95.23410227993278,98.6156348455598,18230334
2019-01-30,95.81507873535156,97.60267353876584,95.3085944502686,96.82805412465052,18478089
2019-01-31,98.9582748413086,99.47965896043684,96.08322592115206,96.23218988984581,33158121
2019-02-01,99.3604736328125,99.91165050499856,97.15577296320112,99.30088804973285,10103922
2019-02-04,98.24322509765625,98.85398754170318,97.4239131166613,98.66033099068505,5048841
2019-02-05,98.94336700439453,100.99910370118687,96.99190848679106,98.39219695539519,17111535
2019-02-06,101.23744201660156,101.5502765417609,98.40708603859223,100.25426630374633,12367974
2019-02-07,101.28213500976562,102.1014469705123,100.0010245713477,101.35662039497264,6340395
2019-02-08,100.20957946777344,101.14806257592355,99.62860983750957,100.56709294565968,6823632
2019-02-11,97.84101867675781,99.92654813480523,96.63439359783253,99.59882061586934,9817485
2019-02-12,97.03660583496094,97.28984798315388,95.77039509399624,95.93425886385046,8510922
2019-02-14,91.74830627441406,94.38500592850687,91.4056789303257,94.2956275505794,23680554
2019-02-15,94.66802978515625,95.08513565245266,92.09091601805753,92.28457255712844,14889744
2019-02-18,94.57865142822266,95.63631249115872,92.58250727811443,94.90637892809181,10230711
2019-02-19,95.4128646850586,97.05149539141367,94.28071822160015,94.4445819741489,9542211
2019-02-20,98.22834014892578,99.0923447966702,95.17452767882337,96.5301236468672,13622469
2019-02-21,98.8241958618164,100.28406309426452,96.5450098200288,98.91357423579905,21926793
2019-02-22,97.46861267089844,99.80737761687496,97.02171395497342,99.80737761687496,12602826
2019-02-25,97.6622543334961,98.16874541287302,95.99383759949524,97.15577007325184,26172189
2019-02-26,99.34557342529297,99.92654304678884,95.8299697260759,96.53011050506865,18095052
2019-02-27,100.01593017578125,100.61179283459248,98.76461245505799,100.19468692768473,16287546
2019-02-28,101.89289855957031,102.47386820465755,99.5839197840797,100.9991012037846,39027792
2019-03-01,102.44407653808594,104.06780750969446,102.04186363208971,102.33979836033143,18061329
2019-03-05,103.23360443115234,103.50174639109437,101.66945890946822,102.19084302307402,11764971
2019-03-06,102.8909683227539,103.94862937701376,102.07164957980203,103.68048745766,7603878
2019-03-07,102.53345489501953,104.38063520774152,102.2057273759174,102.65262605864476,8172705
2019-03-08,104.1720962524414,104.5743023800961,101.80353162957836,102.78670746761583,8152446
2019-03-11,104.79774475097656,106.63003214165322,104.27636066325076,104.36573903908385,11621556
2019-03-12,105.43830108642578,106.51085524567435,104.00822660105001,105.58726504767336,12617085
2019-03-13,104.7530517578125,106.71941011437781,103.82946157275998,105.64684915103321,11249178
2019-03-14,105.34891510009766,106.36188360167829,103.36766387251637,105.03608057537491,8579958
2019-03-15,107.06201934814453,107.85153847719026,104.2763492810499,105.95967252826296,22389132
2019-03-18,107.19609832763672,108.11968848447061,106.54064328909689,107.85154654704382,8349534
2019-03-19,107.86644744873047,109.19224370605096,107.33017038755739,108.0303112100314,14060214
2019-03-20,105.67664337158203,108.06010766514959,105.27443726684818,107.85155130037424,8560206
2019-03-22,103.96353149414062,107.06202954724476,103.47194020518775,106.3023031345172,7766838
2019-03-25,104.76795196533203,105.1701580661716,102.19083795675837,103.88904755508807,8431725
2019-03-26,107.06201934814453,107.85153847719026,104.76794052317209,105.11056100270028,13853361
2019-03-27,106.01927185058594,107.85155245967577,105.60216593568478,106.95775504476373,7961622
2019-03-28,106.74919891357422,108.14948053469556,105.5574668274755,105.63195221383563,13983855
