Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2019-01-01,2520.659912109375,2526.6237938746276,2476.8972979538103,2489.5505260857176,344239
2019-01-02,2455.33837890625,2512.3586764636257,2437.003230221723,2510.5049737275667,597712
2019-01-03,2429.62890625,2480.6853252257897,2422.899419867935,2443.612055258153,368413
2019-01-04,2408.029541015625,2454.088964551585,2395.295641025977,2441.9998563518234,405667
2019-01-07,2383.931884765625,2436.3583585284723,2379.136577696345,2433.940536803171,361881
2019-01-08,2393.88525390625,2413.3889758546297,2361.6072955411687,2396.8671945872998,354130
2019-01-09,2367.409912109375,2405.8130954744465,2342.869062928682,2405.8130954744465,388001
2019-01-10,2352.943603515625,2377.4844556605904,2347.342355646261,2363.0178611090296,452293
2019-01-11,2336.62353515625,2370.2312224281545,2325.138880374504,2355.7646264591594,258996
2019-01-14,2310.631591796875,2345.5288574922406,2301.806581993468,2338.033570911313,267722
2019-01-15,2346.052978515625,2352.017057593704,2310.9140829939074,2320.867332314769,371767
2019-01-16,2320.98828125,2349.276680271066,2313.2915086181597,2344.481372711423,261721
2019-01-17,2340.12939453125,2366.967061276154,2308.214065479395,2319.9002051265493,515341
2019-01-18,2336.22021484375,2361.365521141248,2307.407839619718,2350.4449871233487,389524
2019-01-21,2251.999267578125,2345.166069136266,2240.51461532332,2338.033416925522,628463
2019-01-22,2276.70166015625,2284.8417394145085,2210.2922293983383,2252.60411346157,842837
2019-01-23,2253.36962890625,2298.09933315288,2244.6252912688956,2282.423827503702,326454
2019-01-24,2248.735107421875,2279.1996971823205,2240.5548901841435,2252.6036611119466,240737
2019-01-25,2151.981689453125,2247.566300002359,2137.9180687662247,2220.3658113873594,775065
2019-01-28,2094.3173828125,2163.9505739737797,2084.766907719432,2159.92087085651,576248
2019-01-29,2122.282958984375,2141.262895332085,2074.7324739434466,2096.2913802967487,666747
