Price,Close,High,Low,Open,Volume
Ticker,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS
Date,,,,,
2019-01-01,23208.837890625,23538.37588271943,22980.320950902977,23538.37588271943,33677
2019-01-02,22969.673828125,23455.24590496343,22725.74301572061,23155.411810921247,29590
2019-01-03,22057.046875,23071.34579868572,21977.9781124857,22884.53328209717,41968
2019-01-04,21168.658203125,22417.499751798085,21046.856089605404,22230.687253866436,72358
2019-01-07,20463.0234375,21949.35052034262,20385.91584165919,21462.563441115628,169813
2019-01-08,21503.615234375,21646.900802396933,20176.87234956183,20521.355366932497,119344
2019-01-09,21728.912109375,21845.856016773025,21261.459388141608,21540.41754758007,64706
2019-01-10,21648.16015625,21856.129547303364,21390.03233613603,21763.65735510784,34167
2019-01-11,21815.9609375,21902.828738801058,21235.021570255667,21648.156266140108,44616
2019-01-14,22247.267578125,22323.160157849055,21446.495050266392,21661.84389391512,46614
2019-01-15,22193.88671875,22666.429337416597,22043.87663499193,22462.336666029067,52568
2019-01-16,21820.818359375,22439.822622068114,21586.182608314703,22161.0980300117,60637
2019-01-17,21731.66796875,22006.329819069742,21595.528338329947,21894.428384535207,32601
2019-01-18,21455.138671875,21829.044689989852,21345.014142090342,21805.69312314134,32584
2019-01-21,21440.658203125,21801.067703359124,21278.505306683943,21454.48305882553,28852
2019-01-22,21100.986328125,21561.80569739191,20937.010926599047,21017.340301557222,141081
2019-01-23,21304.890625,21352.66828570428,21017.806886735558,21020.609074174627,37842
2019-01-24,21644.984375,21787.009317673237,21231.14905038934,21287.333278514037,32985
2019-01-25,21257.583984375,21936.461451736403,21114.53374824077,21786.825344148252,51149
2019-01-28,20895.728515625,21390.033717920174,20841.738967159512,21342.396524923934,25359
2019-01-29,21321.615234375,21464.20026703551,20876.300852652315,20895.73008609058,25839
2019-01-30,21630.73828125,21834.59742050596,21131.20275420918,21469.426418319636,30436
2019-01-31,21829.041015625,21944.72429345196,21454.62242066804,21801.019140123557,65841
2019-02-01,22453.9765625,22577.458899069985,21764.216993508828,21819.700672587263,48386
2019-02-04,22605.666015625,22941.368440835944,22277.39048184582,22453.928293211393,29121
2019-02-05,22636.587890625,22835.9628261884,22475.181140912904,22606.977011105853,21635
2019-02-06,22582.927734375,22744.42754575914,22464.20872589352,22744.42754575914,26142
2019-02-07,22306.91015625,23001.29269322559,22207.386875769866,22603.38200541588,26574
2019-02-08,22015.94921875,22403.86615851849,21950.471793290144,22146.624945485502,23385
2019-02-11,22052.890625,22224.898611387496,21773.93247481147,21880.93007147718,16211
2019-02-12,22149.84375,22382.005715045343,22072.831026301497,22138.215401564546,15183
2019-02-14,22408.16015625,22959.257050463733,22236.52616589106,22652.8845397822,65302
2019-02-15,20522.37890625,23071.342263091883,20269.15494368801,23071.342263091883,143444
2019-02-18,20521.634765625,20756.737575068048,20091.685052637644,20521.306384266267,45941
2019-02-19,20201.578125,20945.978538981843,20134.232580511154,20642.782202361937,62090
2019-02-20,19210.025390625,20398.06003318378,18961.471685760178,20398.06003318378,130582
2019-02-21,19946.75,20059.079353562593,19281.159726263417,19389.8810235727,65511
2019-02-22,20189.970703125,20260.639925311683,19694.023053314686,20049.710465508997,56968
2019-02-25,20615.900390625,21081.903455509662,19994.690500585035,20249.341285471157,76735
2019-02-26,20777.486328125,20881.99000341137,20061.89389690397,20291.473211862718,45766
2019-02-27,21076.001953125,21235.9444961994,20807.05801685859,20928.853275816306,52767
2019-02-28,20888.87890625,21265.279230023934,20806.54162145128,21219.401441908914,39440
2019-03-01,20850.591796875,21158.666021319656,20778.891966678748,20794.825262277915,32964
2019-03-05,21461.681640625,21697.400702249874,20760.38228531362,20760.38228531362,46280
2019-03-06,21794.970703125,21977.641646100878,21318.987218756538,21555.877871920937,72001
2019-03-07,21657.244140625,22352.544852061063,21509.954478376512,21791.130353910845,44443
2019-03-08,21559.998046875,22005.145462245295,21463.08575642816,21617.73244419282,28742
2019-03-11,22337.779296875,22399.40366571977,21636.62087465826,21672.09552543781,41150
2019-03-12,22613.09375,22834.285366239066,22362.847302814273,22494.062668379822,50616
2019-03-13,22402.6796875,22633.712447377366,22316.124778260637,22633.712447377366,18136
2019-03-14,22210.923828125,22578.42029039855,22049.809703275892,22461.26368864264,31258
2019-03-15,22189.73828125,22484.69095644079,22053.2728316632,22380.32824052094,20790
2019-03-18,21941.1796875,22380.705451954782,21912.96874654544,22328.733689925004,12765
2019-03-19,22166.966796875,22362.852639357214,21955.14765620045,22184.633646697406,16294
2019-03-20,22068.83203125,22259.74965713331,21880.162347190617,22166.024395419066,16751
2019-03-22,22215.27734375,22381.592085371878,22025.483692272286,22166.023987397188,19715
2019-03-25,22348.97265625,22436.04377990832,21917.649786521823,22119.159074702373,25219
2019-03-26,23288.2421875,23607.517640329315,22173.56880872503,22320.66986677952,38552
2019-03-27,23044.326171875,23883.542630253814,22981.015848470815,23385.440400416446,47516
2019-03-28,22726.455078125,23517.591518921305,22173.241691341325,23137.90899900265,76447
2019-04-01,23929.748046875,24227.981109189655,23438.393342948784,23513.794586744683,39105
2019-04-02,23612.154296875,24220.478755449156,23468.426994188536,24085.9830236402,37586
2019-04-03,23115.27734375,23882.60542097735,23014.85034769402,23758.419434348638,29745
2019-04-04,22906.083984375,23262.61532836653,22704.949892412536,23242.93301886227,24153
2019-04-05,22505.49609375,23103.276532778014,22401.274337116727,23032.98258795212,24018
