Price,Close,High,Low,Open,Volume
Ticker,PEL.NS,PEL.NS,PEL.NS,PEL.NS,PEL.NS
Date,,,,,
2019-01-01,1186.80322265625,1188.5869562989376,1166.8853613199403,1185.1682579022117,498757
2019-01-02,1161.2615966796875,1194.0866229969479,1156.6785554547835,1182.195350658572,1070370
2019-01-03,1132.9454345703125,1169.5112265156615,1123.5067687496803,1161.3112349488274,978351
2019-01-04,1168.644287109375,1174.9615795543193,1137.4543286459907,1138.5939303656367,1104644
2019-01-07,1129.4525146484375,1180.6842573825138,1124.7207038892109,1176.7452408803097,831756
2019-01-08,1143.821044921875,1156.9015092391294,1119.66684326187,1127.1979615173036,873350
2019-01-09,1160.344970703125,1165.596991896726,1144.5394241416157,1149.4941208735581,787887
2019-01-10,1142.0870361328125,1161.8563438684184,1129.948026813263,1159.403843167164,469463
2019-01-11,1138.0240478515625,1156.5050889743225,1127.2227870721072,1147.363641023984,510664
2019-01-14,1127.569580078125,1137.9744436356693,1114.811182155623,1137.9744436356693,487593
2019-01-15,1162.2525634765625,1164.358362991703,1128.0154584253778,1131.6572566448922,608792
2019-01-16,1175.3331298828125,1177.7361474364589,1152.9874021455696,1166.8358132513392,770755
2019-01-17,1183.1368408203125,1186.654718629027,1174.2678684953385,1176.7452171932023,648262
2019-01-18,1137.7020263671875,1181.204395663461,1127.2228311471451,1179.7675761362775,753463
2019-01-21,1130.5177001953125,1153.6562210732895,1121.0789275257277,1142.0621658198154,707281
2019-01-22,1158.9825439453125,1161.3607131873991,1120.2613629766329,1130.1708636108906,718537
2019-01-23,1168.247802734375,1176.7451187214167,1156.9263307969718,1162.7233049359997,769720
2019-01-24,1143.4248046875,1167.8267422739532,1134.6796466220592,1167.653338532451,666213
2019-01-25,1139.1883544921875,1151.9467521695854,1127.2474924573269,1147.0167968234848,657570
2019-01-28,1075.4212646484375,1139.535215355109,1045.990193426298,1139.535215355109,2107504
2019-01-29,1052.580078125,1094.9924390244805,1028.77268142659,1070.2188442975382,1767460
2019-01-30,1028.2772216796875,1073.1916733196329,991.438841917816,1068.2369756548635,2175267
2019-01-31,1007.0213623046875,1035.6347905945893,998.1028011249338,1028.2770762673254,1356398
2019-02-01,1067.889892578125,1077.6507297744354,1003.3795536698536,1007.1203174481375,1888856
2019-02-04,1044.4046630859375,1069.871868823084,1025.7501121797216,1069.2277369051913,969193
2019-02-05,1075.718505859375,1079.310714634792,1033.0584138643678,1043.9587476534934,758583
2019-02-06,1075.817626953125,1089.4184099542078,1046.4362500413813,1073.7366753739373,1180392
2019-02-07,1108.5435791015625,1112.829402995959,1068.410317069849,1074.6037954338128,781121
2019-02-08,1093.72900390625,1109.336407768384,1077.6509784298787,1098.9561778065063,736064
2019-02-11,1050.0283203125,1085.5784330409654,1034.5448380870432,1078.0224664139848,949619
2019-02-12,1079.53369140625,1086.5693399603867,1051.3908839009773,1051.3908839009773,884085
2019-02-14,1094.8685302734375,1111.3429517465981,1070.664738528839,1081.1191922538221,714192
2019-02-15,1071.0859375,1097.445013342856,1050.8954919975533,1085.1326008004344,813480
2019-02-18,1078.517822265625,1090.0375454755554,1064.2977573467642,1067.865224304907,811821
2019-02-19,1079.9300537109375,1089.9633693296153,1072.225531200028,1083.0763825591534,598085
2019-02-20,1088.774169921875,1099.4515097663445,1079.4344702694648,1081.589859404577,889376
2019-02-21,1109.9803466796875,1117.2885782886,1085.6279995547213,1086.0738796398948,853514
2019-02-22,1143.5733642578125,1147.091242019666,1111.4173146012627,1117.2886202725524,1089378
2019-02-25,1151.079833984375,1158.4128072718233,1132.1528051001276,1146.0259574541883,939948
2019-02-26,1148.255615234375,1155.563847308888,1123.4820212939783,1132.1528484919581,749023
2019-02-27,1148.726318359375,1163.8629934172106,1139.8573461147728,1156.9264171260522,929402
2019-02-28,1152.7396240234375,1161.3856025800674,1145.2827301300915,1159.4037237116843,716858
2019-03-01,1175.2587890625,1183.6322915131568,1148.9987866433437,1148.9987866433437,621609
2019-03-05,1219.2071533203125,1226.292391852353,1171.765766276612,1175.0110610441927,962334
2019-03-06,1276.855224609375,1287.7308169770542,1223.815009688611,1223.815009688611,1810278
2019-03-07,1275.9632568359375,1281.2152781200107,1251.511732062676,1272.3711549655784,1072112
2019-03-08,1279.33251953125,1290.406363309244,1256.9124622778552,1275.3440204384526,967539
2019-03-11,1315.6259765625,1324.8913462672872,1283.4946670721147,1288.2263712241354,909028
2019-03-12,1304.304443359375,1341.241786430017,1291.9671830796942,1328.8550431638919,1117346
2019-03-13,1288.845703125,1309.0361479815767,1278.812387751983,1308.045208519766,744927
2019-03-14,1313.76806640625,1325.3868645430446,1272.7429347020425,1288.7218881575905,1259877
2019-03-15,1309.9775390625,1329.845916937717,1301.6040370415865,1313.4953099896995,924343
2019-03-18,1307.7479248046875,1330.6387105351419,1302.0499165418819,1312.9998397011575,766137
2019-03-19,1312.925537109375,1326.8731269437783,1308.0451710641423,1309.9775669459598,678630
2019-03-20,1291.793701171875,1327.36855365279,1283.3211266327746,1317.4590529951472,956871
2019-03-22,1288.5732421875,1315.080979752539,1283.4202929377952,1296.1786919834797,627461
2019-03-25,1275.0963134765625,1287.7307911063986,1264.939184401596,1287.7307911063986,493314
2019-03-26,1302.1243896484375,1310.5226340733873,1267.5900620624288,1280.7943418302964,543988
2019-03-27,1303.7344970703125,1325.3866071996533,1291.7193041203082,1310.0269406186949,675355
2019-03-28,1334.627197265625,1341.7371768154871,1298.1357364527812,1308.5406001810227,1394907
2019-04-01,1334.57763671875,1381.2263340700183,1325.3867055518374,1379.8885871761095,978968
2019-04-02,1307.599365234375,1342.232764386362,1297.6403807050413,1342.232764386362,769240
2019-04-03,1290.554931640625,1316.5176060252577,1281.7850332708492,1307.054092783505,1043744
2019-04-04,1295.7078857421875,1301.8517740957172,1279.3573854108881,1288.7217202156146,564704
2019-04-05,1295.11328125,1309.2342738662346,1291.2733378828373,1300.6130373915266,619505
2019-04-08,1309.3333740234375,1315.4276725841903,1290.7284123758718,1300.117595063825,588322
2019-04-09,1306.187255859375,1317.70687382932,1296.847555412492,1311.9098992821546,514304
2019-04-10,1329.7962646484375,1335.246537803864,1300.61303634346,1300.61303634346,782950
2019-04-11,1321.4971923828125,1335.296012297323,1310.7950046440922,1333.7105306512344,777826
2019-04-12,1323.751708984375,1331.2828277056694,1315.9975968867054,1320.2834208033762,227797
2019-04-15,1332.273681640625,1335.296089519174,1313.1485082413983,1320.431998269318,289122
2019-04-16,1324.370849609375,1353.232118817952,1320.3823506258855,1335.2960308490433,446067
2019-04-18,1312.925537109375,1335.1722980209813,1294.9399650636506,1328.6567539373432,418964
2019-04-22,1263.552001953125,1313.000013111002,1251.1156680335096,1302.1244196357,767675
2019-04-23,1258.05224609375,1271.7272544555426,1246.2847856892793,1258.4981262306965,458635
2019-04-24,1281.1409912109375,1284.2624716424145,1251.6109545031527,1265.4097749510258,339873
2019-04-25,1265.9796142578125,1280.4721567112654,1254.1874137383672,1277.3259346925029,1275771
2019-04-26,1191.014892578125,1270.8353248372432,1181.6999333530027,1270.8353248372432,2855780
2019-04-30,1170.303955078125,1189.1319093245515,1139.5847286619694,1189.1319093245515,1442013
2019-05-02,1172.583251953125,1176.745154887426,1132.1527740425652,1169.3131091873431,938265
2019-05-03,1148.03271484375,1175.7542787915622,1140.7739658435505,1175.7542787915622,755187
2019-05-06,1122.9119873046875,1142.507886338786,1114.8110693050785,1129.6752652412508,1048891
2019-05-07,1123.7049560546875,1148.9987599155338,1102.473982569577,1132.152789433009,1275626
2019-05-08,1086.618896484375,1129.1799139138036,1080.1282008224432,1129.1799139138036,895454
2019-05-09,1080.94580078125,1092.6389289359713,1063.2821877958731,1080.5988866586436,942048
2019-05-10,1089.8643798828125,1104.9019837115027,1073.4146978431422,1080.9459238275408,663470
2019-05-13,1049.706298828125,1094.0014647434452,1044.1818004967947,1090.0377067761676,723761
2019-05-14,1062.2415771484375,1080.07859250325,1028.3017969855753,1046.436136809972,829397
2019-05-15,1059.962646484375,1076.1645930811414,1051.613884981828,1070.1197766454138,1047951
2019-05-16,1014.0322265625,1060.3092648936254,1001.8931128661762,1059.962457449583,2203494
2019-05-17,1056.741943359375,1065.2640007635716,1008.6068386551971,1010.7621211587174,1595788
2019-05-20,1133.5648193359375,1139.089317144614,1085.0829066610775,1090.0376036514276,2264631
2019-05-21,1104.1090087890625,1180.8328010713005,1098.0147101526852,1134.6300915986733,2306388
2019-05-22,1082.4569091796875,1099.228654677281,1060.3093280461846,1094.5216924788217,1663196
2019-05-23,1073.3897705078125,1129.7744564239244,1065.957725081821,1102.4244439407887,2641213
2019-05-24,1089.6661376953125,1099.8728569305872,1066.4036949161332,1066.4036949161332,945766
2019-05-27,1084.48828125,1107.379064906853,1078.3196519763899,1107.379064906853,695874
2019-05-28,1089.343994140625,1097.4449130956436,1080.9209025708371,1085.0829120500177,1062547
2019-05-29,1068.7572021484375,1099.3525109337156,1062.0187712429488,1094.8436937866709,830165
2019-05-30,1089.1953125,1097.4696350387194,1066.3540103658038,1071.7051043755132,2106899
2019-05-31,1101.40869140625,1119.7164358582406,1086.9904801640212,1099.9470237660605,1430184
2019-06-03,1101.5821533203125,1107.3792345584159,1086.5693989610938,1104.9018858735406,661777
2019-06-04,1094.595947265625,1110.723561264312,1081.3669271019705,1099.9470415577673,893823
2019-06-06,1023.1985473632812,1085.082995091451,1012.0008885947769,1085.082995091451,1886578
2019-06-07,1043.686279296875,1056.8410750533021,1001.4969152038032,1014.2304657170409,1679587
2019-06-10,1053.1002197265625,1065.4870695929214,1037.6167373768892,1047.9226357108266,875893
2019-06-11,1074.8514404296875,1084.8847550986877,1028.1284134661626,1051.3908543375692,1054903
2019-06-12,1055.9490966796875,1072.6712513354596,1046.5351729659599,1067.76614426868,788906
