Price,Close,High,Low,Open,Volume
Ticker,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS
Date,,,,,
2019-01-01,217.4881134033203,219.423764455813,216.445835099199,218.33185096644175,716275
2019-01-02,213.02122497558594,218.72892305933522,212.02858183058606,217.38884875497243,1081778
2019-01-03,208.5046844482422,213.76569586374399,208.355778896563,213.36862953913106,2096553
2019-01-04,212.2270965576172,213.3189948732583,208.4550497705579,209.05064168565787,1213181
2019-01-07,213.36863708496094,215.35392333864104,212.4256291437693,213.02122107848618,871903
2019-01-08,213.56715393066406,214.55979701683313,211.1351813988561,213.02121235049623,590293
2019-01-09,211.0359344482422,215.1057621731051,209.10026823713235,214.41091501486332,908322
2019-01-10,212.57452392578125,213.61680225970417,210.48998240446778,210.48998240446778,715378
2019-01-11,210.341064453125,213.66642485913883,209.745487687778,212.42562099816823,698106
2019-01-14,211.92930603027344,212.67378836995823,208.10762396127868,210.1921805710089,1036107
2019-01-15,212.72341918945312,213.66642710439385,211.03592895010686,211.53225049971059,649313
2019-01-16,214.85760498046875,217.58737362000159,212.27674190010256,212.82268351078326,1088457
2019-01-17,216.5450897216797,217.14068164996092,213.4679051496451,214.90723463870418,1267904
2019-01-18,214.65907287597656,216.89251987699828,212.12782991217892,216.79324950722904,771653
2019-01-21,208.9513702392578,215.35391513414731,208.45504869474652,214.60943281738034,1005521
2019-01-22,210.53961181640625,210.98629819111213,207.66093768040784,208.1572592404215,682384
2019-01-23,209.05064392089844,213.21974193158067,208.45505199943022,209.944016656569,937183
2019-01-24,209.24917602539062,211.08555673843313,207.9091017336434,210.53961513104863,1059068
2019-01-25,205.52676391601562,210.48997958582265,204.53412078205423,209.44770126585675,1723705
2019-01-28,207.7105712890625,208.75284958648604,199.86869675898424,205.47712428595432,1629992
2019-01-29,203.3429412841797,208.85209826874564,200.7124280305408,208.45504709479667,1325502
2019-01-30,202.99551391601562,205.0304352999813,200.41463579783505,202.25103159114028,1407845
2019-01-31,202.30067443847656,204.4844863115262,199.32274502617278,204.28596071334576,2584783
2019-02-01,202.5984649658203,206.27124144634575,200.16647722721976,202.30066900328436,948332
2019-02-04,198.37973022460938,202.94587941121418,196.5433344251556,202.00287149252102,1115503
2019-02-05,184.5819854736328,198.5782595499463,177.98091477212438,197.03965968181464,8331711
2019-02-06,187.0635986328125,188.3540377574268,176.7897511157814,182.64633964356537,3459646
2019-02-07,189.69410705566406,191.03416618514945,185.27683303662326,186.9147032791481,1968302
2019-02-08,184.3338165283203,190.0911494091841,183.04337749780288,188.602184792402,1280248
2019-02-11,178.42759704589844,184.631616414671,175.74746370789504,184.53234604615795,3460117
2019-02-12,185.17758178710938,187.6095544638153,177.28607181119187,177.73275819727542,2805228
2019-02-14,187.51028442382812,188.9992491444404,181.60406072803917,181.80258632814767,997833
2019-02-15,184.780517578125,189.5948429471768,182.8448664516881,189.5948429471768,1624523
2019-02-18,181.40553283691406,185.1279445914335,180.16472891874093,184.78051343573216,1026852
2019-02-19,183.1426544189453,187.41102283579352,180.9092074138362,181.25663856213262,984628
2019-02-20,187.31175231933594,187.90734424551192,183.14265427569956,183.14265427569956,993170
2019-02-21,189.24740600585938,193.466139293423,186.1702214016734,186.61690777928547,2511829
2019-02-22,187.8577117919922,190.63711557700574,186.6665430688527,188.60219413727089,1243941
2019-02-25,189.69410705566406,191.778648528152,187.16286406014896,188.70146393166067,1373833
2019-02-26,190.24005126953125,190.8356432107264,183.98641161964352,188.35403536663372,1271388
2019-02-27,191.28233337402344,193.5654156650199,188.70147025307602,190.58748619325038,1816786
2019-02-28,192.27496337890625,193.56540242437507,190.14078679540395,190.98452433343743,1090108
2019-03-01,195.84849548339844,196.39445224230323,191.7786525314161,192.57277007650197,1292085
2019-03-05,196.09664916992188,198.42935138764918,195.1536412458818,196.14628435466753,1910560
2019-03-06,196.4936981201172,201.75470956615473,194.65731747766773,197.03965485304659,1716592
2019-03-07,195.1536407470703,198.429350880465,194.70693923203305,197.3374525515107,933729
2019-03-08,191.7786407470703,196.14627940339528,191.18306398475198,194.55804441081685,1542933
2019-03-11,201.01023864746094,201.50656022436823,190.63712071940463,190.63712071940463,3592265
2019-03-12,203.39256286621094,204.68300191114568,201.65543746055724,202.945876505492,1991333
2019-03-13,201.357666015625,207.21425445415963,200.76207407594626,204.4348506465459,2690181
2019-03-14,204.68301391601562,210.24182159874985,201.5065588743957,202.4992020215602,6563662
2019-03-15,201.705078125,207.0653600388702,200.86134056438982,205.87417618254443,2025761
2019-03-18,198.7767791748047,203.49183386184748,197.08928894769568,203.39256349403396,1608207
2019-03-19,201.80435180664062,203.98816366818582,198.82642241002478,199.0745831930761,1792277
2019-03-20,196.64260864257812,202.49919700721316,195.69958555889735,202.3503065974383,2158406
2019-03-22,194.3098907470703,200.36501983790345,193.76393400174405,197.83377685250494,1298095
2019-03-25,195.20326232910156,198.03230126289859,192.17571294832285,193.56540724944975,1658129
2019-03-26,194.60768127441406,196.04701072894048,192.62239508981722,194.21061494957576,1154541
2019-03-27,195.1536407470703,198.7271468416459,193.66467608769753,195.05437037783275,1962815
2019-03-28,197.48634338378906,199.07457841581697,195.30253157464955,196.04701390593792,1586111
2019-04-01,206.5690460205078,207.7602147737783,202.69772863921307,203.0451598010777,1915582
2019-04-02,210.341064453125,213.12046813100545,206.02307610486616,206.4697624655093,3913611
2019-04-03,206.81719970703125,211.63150974171745,205.82455658896828,211.0855529974764,2330970
2019-04-04,209.79513549804688,210.8373986867656,204.13705743426416,206.86682609269067,2089235
2019-04-05,209.74549865722656,213.91459681882054,208.50469473136332,209.84475388337623,2761691
2019-04-08,210.14254760742188,213.12047699764477,208.455057315602,210.4403435757506,1557504
2019-04-09,208.70321655273438,210.34107164661629,206.42013434116262,210.34107164661629,827540
2019-04-10,207.26388549804688,210.34107006747013,206.22160719770517,206.56903834666304,1142036
2019-04-11,213.02122497558594,213.6664369612229,207.0653661055867,207.16462133216726,2439649
2019-04-12,213.56715393066406,215.6517104702317,211.48261253762786,214.3612714289056,2620746
2019-04-15,215.05612182617188,217.09104321303099,212.3263532977474,214.85759623522915,2673514
2019-04-16,214.1131134033203,215.80060364214316,212.97157989819854,215.80060364214316,1143488
2019-04-18,207.3135223388672,215.20503213899826,205.77492246860126,214.1131186448658,2818804
2019-04-22,207.80984497070312,211.87967270886253,206.46977068886926,206.61866109950319,2003793
2019-04-23,208.05799865722656,209.29880252530035,202.49919126964332,208.25652424681203,3217791
2019-04-24,207.36314392089844,210.39070849849355,199.17383809356014,202.49919863963765,9668429
2019-04-25,209.64622497558594,211.2840952197934,205.77492284660843,207.85946432123782,3228599
2019-04-26,211.6315155029297,215.3042921104397,208.1572644951303,211.43298990321904,2510185
2019-04-30,207.6609344482422,211.48261645947707,205.77491860815823,209.44769506578749,2370602
2019-05-02,204.7822723388672,208.50468392350535,203.54146847732113,206.5690329287998,2271545
