Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-01-01,1693.852783203125,1700.2621047389944,1678.0073651481698,1687.7994505681324,1094883
2019-01-02,1712.101318359375,1722.0268432476753,1691.3598618504038,1695.8108088552733,2100463
2019-01-03,1691.3153076171875,1731.3738306302962,1685.2175319583316,1708.2734591590163,2611668
2019-01-04,1670.7518310546875,1692.4279196209252,1638.8385651396684,1691.3597358855893,4280862
2019-01-07,1689.4903564453125,1699.1934419059191,1674.4461349879343,1684.0602232483993,1856423
2019-01-08,1685.618408203125,1697.0573217961519,1676.4939656277757,1696.1671322766056,1691756
2019-01-09,1679.742919921875,1708.2735349330253,1661.7165837663806,1697.9473591647468,2414376
2019-01-10,1681.167236328125,1695.8108085048402,1666.5235554857113,1682.457967492991,3053461
2019-01-11,1640.21875,1669.1053565714446,1633.4977756312537,1664.6544089539207,9209862
2019-01-14,1614.1358642578125,1647.7405127484963,1611.2427488248397,1646.8503233845047,3615370
2019-01-15,1662.6959228515625,1664.0756513201159,1609.4625494852696,1611.2429284116913,7711653
2019-01-16,1664.7877197265625,1669.1051165615957,1644.1798134876092,1664.654169584098,2359280
2019-01-17,1689.900390625,1693.2011079187112,1669.38214748373,1675.3591573610852,2625816
2019-01-18,1695.5650634765625,1698.7319441285138,1673.574839251451,1678.035326562889,1683728
2019-01-21,1702.7462158203125,1723.532128213803,1690.9259256035252,1696.769206968247,2409803
2019-01-22,1696.6802978515625,1711.2660705477697,1686.0643155664197,1701.3191614037246,2457093
2019-01-23,1673.21826171875,1700.4272389242863,1668.222536864018,1695.877562876202,2578169
2019-01-24,1696.3680419921875,1699.6687591775008,1672.6828098453295,1681.4254088909026,1962927
2019-01-25,1713.541015625,1726.2087572609528,1695.8774405959025,1696.7695381448746,2327080
2019-01-28,1744.050537109375,1750.2952193394342,1717.733661996983,1724.4243929577606,2769033
2019-01-29,1768.8065185546875,1774.426777000987,1727.6808409243165,1750.295493332138,2557626
2019-01-30,1767.60205078125,1774.8280189252723,1743.7384420824558,1765.9962316831902,2429575
2019-01-31,1796.773681640625,1801.8140546562997,1770.8136643113032,1772.5978594390729,4094319
2019-02-01,1810.9132080078125,1815.1953194051482,1782.4999254882096,1792.6698583829195,3064163
2019-02-04,1829.02294921875,1833.661812785718,1804.7132916812736,1810.913325915786,1590764
2019-02-05,1823.93798828125,1833.2603636024078,1809.1737310879234,1828.7998760997255,1111404
2019-02-06,1850.924072265625,1861.6738914882292,1820.815779433143,1828.7107122086395,1789812
2019-02-07,1858.14990234375,1871.5760140492534,1843.9656383980512,1850.8793944201047,1339945
2019-02-08,1838.9697265625,1864.0377538019213,1829.6919995442645,1851.102339860726,1684474
2019-02-11,1842.9840087890625,1869.8362287734494,1827.8183523534,1837.7207210273407,1778730
2019-02-12,1830.2274169921875,1846.6419247600422,1800.2528522539928,1846.6419247600422,2422903
2019-02-14,1823.9825439453125,1851.102329981146,1813.6788830621808,1837.7655157896463,1724085
2019-02-15,1810.6903076171875,1830.584126035601,1793.9634789801664,1827.9078334536778,1930065
2019-02-18,1757.6998291015625,1821.6185308138513,1750.875261131208,1817.7379282891009,2942184
